txn_id,account_id,txn_date,txn_timestamp,txn_type,amount,currency,counterparty_account,counterparty_bank_bic,channel,status,reversal_flag,original_txn_id,created_at
TXN0000000025,ACCT00000001,2023-01-14,2023-01-14 18:09:45,CREDIT,1326.17,USD,,,ATM,SETTLED,N,,2023-01-14 14:34:00
TXN0000000026,ACCT00000001,2023-02-19,2023-02-19 08:27:20,CREDIT,70.81,USD,,,ATM,SETTLED,N,,2023-02-19 08:10:07
TXN0000000027,ACCT00000001,2022-05-18,2022-05-18 13:12:03,TRANSFER,1738.34,EUR,JCIG84249818299229,DEUTDEDB,ONLINE,SETTLED,N,,2022-05-18 16:22:37
TXN0000000028,ACCT00000001,2023-06-22,2023-06-22 13:07:50,TRANSFER,286.26,CHF,XTKS00109439690784,CITIGB2L,MOBILE,SETTLED,N,,2023-06-22 16:38:27
TXN0000000029,ACCT00000001,2023-08-09,2023-08-09 07:18:22,WIRE,329.92,CAD,UJPH64710276773592,RBOSGB2L,ONLINE,SETTLED,N,,2023-08-09 17:10:05
TXN0000000030,ACCT00000001,2022-03-25,2022-03-25 06:16:16,ACH,3965.67,USD,KWKX56258815371473,USftJyPXXX,WIRE,SETTLED,N,,2022-03-25 19:53:02
TXN0000000031,ACCT00000001,2023-07-26,2023-07-26 13:17:27,CREDIT,148.23,MXN,EDBJ69632595327877,CITIGB2L,BRANCH,FAILED,N,,2023-07-26 16:16:17
TXN0000000032,ACCT00000001,2023-08-20,2023-08-20 07:26:52,CREDIT,3237.1,USD,,,ONLINE,SETTLED,N,,2023-08-20 20:16:21
TXN0000000033,ACCT00000001,2023-03-01,2023-03-01 07:31:16,FEE,237.14,USD,,,ONLINE,SETTLED,N,,2023-03-01 14:05:19
TXN0000000034,ACCT00000001,2022-06-13,2022-06-13 20:58:27,FEE,63.96,CAD,JPAC68733950047974,DEUTDEDB,ONLINE,SETTLED,N,,2022-06-13 16:54:12
TXN0000000035,ACCT00000001,2023-12-09,2023-12-09 17:12:02,WIRE,59.13,CHF,RADN24565060983584,RBOSGB2L,ONLINE,SETTLED,N,,2023-12-09 18:54:18
TXN0000000036,ACCT00000001,2023-06-09,2023-06-09 18:56:33,TRANSFER,91.76,USD,CMQO84991216558523,USiqdPEXXX,MOBILE,PENDING,N,,2023-06-09 06:08:50
TXN0000000037,ACCT00000001,2023-12-21,2023-12-21 18:24:08,CREDIT,245.95,USD,,,WIRE,SETTLED,N,,2023-12-21 18:27:00
TXN0000000038,ACCT00000001,2022-07-31,2022-07-31 19:30:41,FEE,160.43,USD,,,ONLINE,SETTLED,N,,2022-07-31 09:25:23
TXN0000000039,ACCT00000001,2023-02-09,2023-02-09 17:52:59,TRANSFER,138.01,USD,TQMQ00025787298259,USrCGjBXXX,ATM,SETTLED,N,,2023-02-09 10:13:05
TXN0000000040,ACCT00000001,2022-06-18,2022-06-18 06:33:20,CREDIT,79.48,USD,,,WIRE,SETTLED,N,,2022-06-18 22:53:39
TXN0000000041,ACCT00000001,2022-11-30,2022-11-30 16:49:09,DEBIT,129.45,GBP,KFMT49588879470551,BARCGB22,ONLINE,SETTLED,N,,2022-11-30 17:58:46
TXN0000000042,ACCT00000001,2022-09-08,2022-09-08 17:58:26,DEBIT,346.64,USD,,,ONLINE,SETTLED,N,,2022-09-08 16:39:53
TXN0000000043,ACCT00000001,2023-10-18,2023-10-18 09:00:38,DEBIT,258.91,USD,,,ONLINE,PENDING,N,,2023-10-18 10:58:56
TXN0000000044,ACCT00000001,2023-09-02,2023-09-02 08:17:55,DEBIT,541.32,USD,,,ONLINE,SETTLED,N,,2023-09-02 21:32:14
TXN0000000045,ACCT00000001,2022-10-16,2022-10-16 15:02:48,DEBIT,959.68,MXN,NSJZ09749930972896,UBSWCHZH,ONLINE,SETTLED,N,,2022-10-16 09:59:07
TXN0000000046,ACCT00000001,2023-03-31,2023-03-31 22:05:32,CREDIT,18.85,EUR,EVHB91307562636897,CHASUS33,ONLINE,SETTLED,N,,2023-03-31 06:02:51
TXN0000000047,ACCT00000001,2023-12-16,2023-12-16 22:49:39,DEBIT,450.77,GBP,XXBW28385786527858,BNPAFRPP,WIRE,SETTLED,N,,2023-12-16 19:51:13
TXN0000000048,ACCT00000001,2023-12-14,2023-12-14 10:26:13,DEBIT,151.18,USD,,,WIRE,SETTLED,N,,2023-12-14 15:32:33
TXN0000000049,ACCT00000001,2023-07-17,2023-07-17 11:08:40,DEBIT,395.33,USD,,,MOBILE,PENDING,N,,2023-07-17 12:20:07
TXN0000000050,ACCT00000001,2022-03-28,2022-03-28 13:16:21,TRANSFER,177.8,USD,LVYX49733484344375,USxJgTHXXX,MOBILE,SETTLED,N,,2022-03-28 13:35:47
TXN0000000051,ACCT00000001,2023-07-11,2023-07-11 07:34:08,TRANSFER,111.48,USD,PLRZ44198665240415,USCoIptXXX,ATM,SETTLED,N,,2023-07-11 21:19:20
TXN0000000052,ACCT00000001,2023-06-14,2023-06-14 12:04:43,CREDIT,286.86,USD,,,ONLINE,SETTLED,N,,2023-06-14 18:35:23
TXN0000000053,ACCT00000001,2023-09-28,2023-09-28 09:42:41,CREDIT,39.49,USD,,,ONLINE,SETTLED,N,,2023-09-28 21:53:18
TXN0000000054,ACCT00000001,2022-04-12,2022-04-12 08:17:59,DEBIT,20.53,USD,,,MOBILE,SETTLED,N,,2022-04-12 17:09:37
TXN0000000055,ACCT00000001,2023-09-21,2023-09-21 12:04:38,DEBIT,73.37,USD,,,BRANCH,SETTLED,N,,2023-09-21 21:06:51
TXN0000000056,ACCT00000001,2022-05-23,2022-05-23 20:10:39,DEBIT,58.69,CAD,OUIX73384842199330,CHASUS33,ATM,SETTLED,N,,2022-05-23 20:01:05
TXN0000000057,ACCT00000001,2022-02-12,2022-02-12 21:23:47,CREDIT,435.59,JPY,VQHU30165712082677,CHASUS33,ACH,SETTLED,N,,2022-02-12 17:52:35
TXN0000000058,ACCT00000001,2023-03-17,2023-03-17 18:03:45,CREDIT,158.63,CAD,UGYJ54019380262067,RBOSGB2L,ONLINE,SETTLED,N,,2023-03-17 09:23:36
TXN0000000059,ACCT00000001,2023-09-14,2023-09-14 22:08:31,TRANSFER,46.57,USD,FXJB04991547887287,USAkmZMXXX,MOBILE,SETTLED,N,,2023-09-14 07:58:13
TXN0000000060,ACCT00000002,2022-02-11,2022-02-11 20:00:18,DEBIT,25.74,USD,,,ATM,SETTLED,N,,2022-02-11 12:43:07
TXN0000000061,ACCT00000002,2022-07-16,2022-07-16 21:46:54,ACH,44.67,JPY,IGZD52742054932966,RBOSGB2L,ATM,SETTLED,N,,2022-07-16 14:00:29
TXN0000000062,ACCT00000002,2021-09-18,2021-09-18 18:00:00,DEBIT,18.02,USD,,,POS,SETTLED,N,,2021-09-18 20:24:45
TXN0000000063,ACCT00000002,2022-01-20,2022-01-20 10:07:37,FEE,416.11,USD,,,ONLINE,SETTLED,N,,2022-01-20 22:26:55
TXN0000000064,ACCT00000002,2023-03-04,2023-03-04 12:38:13,TRANSFER,3443.91,USD,QKCM12275304637454,USRKCDXXXX,ONLINE,SETTLED,N,,2023-03-04 06:58:19
TXN0000000065,ACCT00000002,2023-09-09,2023-09-09 14:34:22,DEBIT,827.69,CHF,SXSA45301742684145,CITIGB2L,ONLINE,SETTLED,N,,2023-09-09 09:11:12
TXN0000000066,ACCT00000002,2022-05-16,2022-05-16 09:33:42,DEBIT,592.97,CAD,THHE72795687833918,CHASUS33,MOBILE,SETTLED,N,,2022-05-16 19:22:06
TXN0000000067,ACCT00000002,2022-02-04,2022-02-04 06:19:35,DEBIT,495.44,USD,,,ACH,SETTLED,N,,2022-02-04 13:50:24
TXN0000000068,ACCT00000002,2022-05-16,2022-05-16 17:47:52,TRANSFER,24.04,CAD,OQWL19108839822587,BARCGB22,BRANCH,SETTLED,N,,2022-05-16 17:36:59
TXN0000000069,ACCT00000002,2022-05-22,2022-05-22 12:48:54,CREDIT,278.9,USD,,,MOBILE,SETTLED,N,,2022-05-22 12:58:44
TXN0000000070,ACCT00000002,2022-10-08,2022-10-08 21:30:31,FEE,145.85,USD,,,MOBILE,SETTLED,N,,2022-10-08 12:23:50
TXN0000000071,ACCT00000002,2023-03-26,2023-03-26 08:37:22,CREDIT,5.26,USD,,,ONLINE,SETTLED,N,,2023-03-26 06:35:41
TXN0000000072,ACCT00000002,2023-03-11,2023-03-11 06:43:51,DEBIT,105.4,USD,,,ATM,SETTLED,N,,2023-03-11 18:07:23
TXN0000000073,ACCT00000002,2021-09-28,2021-09-28 22:00:19,CREDIT,36.26,USD,,,MOBILE,SETTLED,N,,2021-09-28 11:47:12
TXN0000000074,ACCT00000002,2022-10-27,2022-10-27 14:52:29,TRANSFER,164.73,USD,DVGW97187072867908,USAkmZMXXX,ACH,SETTLED,N,,2022-10-27 06:19:53
TXN0000000075,ACCT00000002,2023-06-05,2023-06-05 22:42:59,FEE,883.53,CAD,OVZJ06403910651801,CITIGB2L,ONLINE,SETTLED,N,,2023-06-05 18:29:39
TXN0000000076,ACCT00000002,2023-04-09,2023-04-09 18:07:02,TRANSFER,41.99,USD,PBJN22656766182512,USxJgTHXXX,ONLINE,SETTLED,N,,2023-04-09 12:29:11
TXN0000000077,ACCT00000002,2022-11-16,2022-11-16 20:10:57,DEBIT,239.03,USD,,,MOBILE,SETTLED,N,,2022-11-16 17:39:30
TXN0000000078,ACCT00000002,2021-12-15,2021-12-15 21:29:00,ACH,48.54,CAD,RMQE30047868633752,MXBBMXMM,ONLINE,SETTLED,N,,2021-12-15 09:43:21
TXN0000000079,ACCT00000003,2022-11-04,2022-11-04 06:52:37,TRANSFER,220.25,CAD,IGXY10690331190790,CHASUS33,MOBILE,SETTLED,N,,2022-11-04 22:21:26
TXN0000000080,ACCT00000003,2022-12-17,2022-12-17 07:59:48,WIRE,3035.14,EUR,HXBM73830284395995,RBOSGB2L,ATM,SETTLED,N,,2022-12-17 16:43:38
TXN0000000081,ACCT00000003,2022-11-12,2022-11-12 15:53:13,DEBIT,177.58,USD,,,POS,SETTLED,N,,2022-11-12 12:54:26
TXN0000000082,ACCT00000003,2022-04-21,2022-04-21 19:56:51,TRANSFER,51.0,USD,HJEV83644089268705,USftJyPXXX,WIRE,SETTLED,N,,2022-04-21 17:38:25
TXN0000000083,ACCT00000003,2023-10-20,2023-10-20 14:52:37,ACH,170.1,USD,UVMZ85662462873342,USiMyjkXXX,POS,SETTLED,N,,2023-10-20 14:28:47
TXN0000000084,ACCT00000003,2021-10-03,2021-10-03 17:15:28,DEBIT,568.63,USD,,,ATM,SETTLED,N,,2021-10-03 11:38:41
TXN0000000085,ACCT00000003,2021-07-20,2021-07-20 13:41:39,ACH,925.59,EUR,ZOBR66882634351751,HSBCHKHH,MOBILE,SETTLED,N,,2021-07-20 16:56:01
TXN0000000086,ACCT00000003,2022-03-14,2022-03-14 22:00:23,DEBIT,2.1,USD,,,ONLINE,SETTLED,N,,2022-03-14 12:12:46
TXN0000000087,ACCT00000003,2023-01-12,2023-01-12 19:38:24,DEBIT,191.36,USD,,,MOBILE,SETTLED,N,,2023-01-12 22:02:44
TXN0000000088,ACCT00000003,2022-04-24,2022-04-24 08:22:00,CREDIT,59.96,CHF,RXGB46990139837354,UBSWCHZH,ACH,SETTLED,N,,2022-04-24 18:13:11
TXN0000000089,ACCT00000003,2023-10-23,2023-10-23 19:23:33,DEBIT,89.92,MXN,AGGX17393638546785,DEUTDEDB,ONLINE,SETTLED,N,,2023-10-23 20:40:37
TXN0000000090,ACCT00000003,2022-09-30,2022-09-30 19:47:02,DEBIT,116.86,USD,,,MOBILE,SETTLED,N,,2022-09-30 12:54:54
TXN0000000091,ACCT00000003,2021-12-01,2021-12-01 07:45:48,DEBIT,225.31,EUR,JILQ77175355609320,CITIGB2L,BRANCH,SETTLED,N,,2021-12-01 15:52:52
TXN0000000092,ACCT00000003,2021-09-24,2021-09-24 16:07:25,CREDIT,108.04,USD,,,MOBILE,SETTLED,N,,2021-09-24 22:16:37
TXN0000000093,ACCT00000003,2022-10-30,2022-10-30 19:05:16,FEE,57.19,EUR,IRSS64235369378547,UBSWCHZH,MOBILE,SETTLED,N,,2022-10-30 12:56:20
TXN0000000094,ACCT00000003,2022-10-15,2022-10-15 06:51:58,DEBIT,405.49,CAD,XUXP72522872808010,HSBCHKHH,MOBILE,SETTLED,N,,2022-10-15 11:26:02
TXN0000000095,ACCT00000003,2022-01-21,2022-01-21 21:03:30,TRANSFER,9692.46,CHF,YANE31203875099770,DEUTDEDB,ONLINE,SETTLED,N,,2022-01-21 09:10:38
TXN0000000096,ACCT00000003,2022-01-17,2022-01-17 17:38:41,ACH,182.43,USD,ARRN00848408621182,USkUCcAXXX,BRANCH,SETTLED,N,,2022-01-17 22:19:43
TXN0000000097,ACCT00000003,2021-10-27,2021-10-27 20:00:21,ACH,602.57,MXN,HGTQ45461567933410,CHASUS33,POS,SETTLED,N,,2021-10-27 22:49:00
TXN0000000098,ACCT00000003,2022-11-28,2022-11-28 09:56:01,CREDIT,565.51,GBP,CMMM87002176591803,DEUTDEDB,MOBILE,SETTLED,N,,2022-11-28 14:02:31
TXN0000000099,ACCT00000003,2021-08-20,2021-08-20 14:32:12,TRANSFER,1219.84,USD,GWSP40148902503926,USXFmoiXXX,ONLINE,SETTLED,N,,2021-08-20 13:16:33
TXN0000000100,ACCT00000003,2023-11-23,2023-11-23 14:39:08,DEBIT,80.1,CHF,CJFS39685621850163,UBSWCHZH,ATM,SETTLED,N,,2023-11-23 11:32:03
TXN0000000101,ACCT00000003,2023-04-05,2023-04-05 13:50:42,DEBIT,24.67,USD,,,MOBILE,SETTLED,N,,2023-04-05 14:15:47
TXN0000000102,ACCT00000003,2021-10-07,2021-10-07 14:17:56,TRANSFER,180.4,USD,CKTY99650477358662,USrCGjBXXX,ONLINE,SETTLED,N,,2021-10-07 16:47:37
TXN0000000103,ACCT00000003,2022-02-20,2022-02-20 07:07:47,DEBIT,341.83,USD,,,MOBILE,SETTLED,N,,2022-02-20 11:13:53
TXN0000000104,ACCT00000003,2023-05-10,2023-05-10 12:14:01,CREDIT,294.55,USD,,,BRANCH,SETTLED,N,,2023-05-10 11:58:15
TXN0000000105,ACCT00000003,2022-07-16,2022-07-16 17:17:51,DEBIT,45.93,USD,,,ONLINE,SETTLED,N,,2022-07-16 11:43:29
TXN0000000106,ACCT00000003,2022-02-13,2022-02-13 06:01:18,CREDIT,247.72,USD,,,ONLINE,SETTLED,N,,2022-02-13 12:05:42
TXN0000000107,ACCT00000003,2023-01-10,2023-01-10 07:36:15,WIRE,667.8,USD,VSVM19431142626551,TOKYOJPJT,ONLINE,SETTLED,N,,2023-01-10 17:19:33
TXN0000000108,ACCT00000003,2022-05-05,2022-05-05 20:56:13,TRANSFER,785.78,MXN,CAJO54121267888610,CHASUS33,BRANCH,SETTLED,N,,2022-05-05 22:47:09
TXN0000000109,ACCT00000003,2022-04-18,2022-04-18 11:31:09,DEBIT,2.77,MXN,CLRC99560466183982,MXBBMXMM,POS,SETTLED,N,,2022-04-18 12:48:32
TXN0000000110,ACCT00000003,2023-12-23,2023-12-23 22:21:11,TRANSFER,76.08,USD,VMFE44472126464715,USsESiWXXX,MOBILE,SETTLED,N,,2023-12-23 17:41:29
TXN0000000111,ACCT00000004,2023-01-08,2023-01-08 22:07:36,WIRE,78.59,EUR,IHXU79937124065965,BARCGB22,MOBILE,SETTLED,N,,2023-01-08 16:54:19
TXN0000000112,ACCT00000004,2022-08-25,2022-08-25 15:32:35,TRANSFER,60.95,JPY,OKNU92459375265479,UBSWCHZH,MOBILE,PENDING,N,,2022-08-25 09:56:45
TXN0000000113,ACCT00000004,2022-09-26,2022-09-26 15:02:15,CREDIT,253.9,JPY,ZHKM46519398280737,RBOSGB2L,MOBILE,PENDING,N,,2022-09-26 06:28:59
TXN0000000114,ACCT00000004,2022-11-10,2022-11-10 17:55:21,DEBIT,927.24,GBP,ZJWC67243426617979,MXBBMXMM,ATM,SETTLED,N,,2022-11-10 22:04:54
TXN0000000115,ACCT00000004,2022-05-14,2022-05-14 20:49:53,ACH,318.26,EUR,MRQW68058911352909,BNPAFRPP,ATM,SETTLED,N,,2022-05-14 21:59:31
TXN0000000116,ACCT00000004,2022-08-30,2022-08-30 10:13:32,FEE,683.34,USD,,,ATM,SETTLED,N,,2022-08-30 10:54:18
TXN0000000117,ACCT00000004,2023-02-07,2023-02-07 15:55:21,TRANSFER,136.94,USD,UVUM56101438889937,USAkmZMXXX,MOBILE,PENDING,N,,2023-02-07 15:35:53
TXN0000000118,ACCT00000004,2022-09-18,2022-09-18 19:27:08,WIRE,129.85,GBP,LMOY98250714611254,TOKYOJPJT,ONLINE,SETTLED,N,,2022-09-18 16:50:26
TXN0000000119,ACCT00000004,2023-03-16,2023-03-16 11:49:28,CREDIT,51.54,EUR,KOZG87571775140105,BNPAFRPP,ATM,SETTLED,N,,2023-03-16 20:16:39
TXN0000000120,ACCT00000004,2022-04-23,2022-04-23 21:09:43,DEBIT,47.22,USD,,,ATM,SETTLED,N,,2022-04-23 18:23:12
TXN0000000121,ACCT00000004,2022-05-15,2022-05-15 07:03:21,DEBIT,63.1,USD,,,MOBILE,SETTLED,N,,2022-05-15 17:21:35
TXN0000000122,ACCT00000004,2022-08-14,2022-08-14 09:27:35,DEBIT,711.67,USD,,,POS,SETTLED,N,,2022-08-14 12:13:23
TXN0000000123,ACCT00000004,2023-03-15,2023-03-15 17:48:00,WIRE,117.7,EUR,UDVZ23828258673622,TOKYOJPJT,MOBILE,SETTLED,N,,2023-03-15 08:01:32
TXN0000000124,ACCT00000004,2022-11-12,2022-11-12 21:35:20,ACH,83.37,CHF,UVNM09379660334191,DEUTDEDB,WIRE,SETTLED,N,,2022-11-12 11:05:40
TXN0000000125,ACCT00000004,2023-02-03,2023-02-03 13:55:04,FEE,47.73,USD,,,POS,SETTLED,N,,2023-02-03 19:02:33
TXN0000000126,ACCT00000004,2023-02-01,2023-02-01 17:23:50,TRANSFER,44.65,EUR,ZRFL53714785969691,RBOSGB2L,WIRE,SETTLED,N,,2023-02-01 12:38:05
TXN0000000127,ACCT00000004,2022-05-30,2022-05-30 07:02:39,DEBIT,429.24,USD,,,ACH,SETTLED,N,,2022-05-30 12:43:43
TXN0000000128,ACCT00000004,2022-08-12,2022-08-12 13:34:35,DEBIT,105.38,MXN,LLOT24991251341252,CITIGB2L,POS,SETTLED,N,,2022-08-12 20:33:10
TXN0000000129,ACCT00000004,2023-03-14,2023-03-14 22:06:48,FEE,164.9,USD,,,WIRE,SETTLED,N,,2023-03-14 19:49:28
TXN0000000130,ACCT00000004,2022-11-20,2022-11-20 06:34:14,DEBIT,356.68,USD,,,MOBILE,SETTLED,N,,2022-11-20 22:44:05
TXN0000000131,ACCT00000004,2022-07-17,2022-07-17 10:46:52,DEBIT,424.07,USD,,,MOBILE,SETTLED,N,,2022-07-17 15:17:54
TXN0000000132,ACCT00000004,2022-04-28,2022-04-28 21:38:52,TRANSFER,283.74,USD,QMNT29662782827422,USiqdPEXXX,ATM,FAILED,N,,2022-04-28 19:15:28
TXN0000000133,ACCT00000004,2023-02-11,2023-02-11 11:19:24,DEBIT,101.86,CAD,KOTB50723688767677,RBOSGB2L,ATM,SETTLED,N,,2023-02-11 20:42:05
TXN0000000134,ACCT00000004,2022-09-16,2022-09-16 16:15:05,DEBIT,418.64,USD,,,MOBILE,SETTLED,N,,2022-09-16 16:51:27
TXN0000000135,ACCT00000004,2022-11-05,2022-11-05 18:17:49,WIRE,712.02,USD,FCSA34043842797881,CITIGB2L,BRANCH,SETTLED,N,,2022-11-05 18:24:26
TXN0000000136,ACCT00000004,2023-03-20,2023-03-20 10:15:42,CREDIT,364.28,EUR,SDIY85807836134074,BARCGB22,WIRE,SETTLED,N,,2023-03-20 10:17:24
TXN0000000137,ACCT00000004,2023-01-24,2023-01-24 14:03:24,CREDIT,567.85,EUR,LCOD33959629233095,BNPAFRPP,POS,SETTLED,N,,2023-01-24 08:13:32
TXN0000000138,ACCT00000004,2022-11-10,2022-11-10 16:20:37,DEBIT,1581.71,EUR,RITR25449481260422,RBOSGB2L,MOBILE,SETTLED,N,,2022-11-10 16:43:49
TXN0000000139,ACCT00000004,2022-11-29,2022-11-29 06:03:56,DEBIT,701.37,CAD,HEWK36729466711684,MXBBMXMM,MOBILE,SETTLED,N,,2022-11-29 16:04:54
TXN0000000140,ACCT00000004,2022-06-19,2022-06-19 12:26:58,WIRE,86.53,USD,WLOP59017518636374,USiqdPEXXX,ONLINE,SETTLED,N,,2022-06-19 11:29:02
TXN0000000141,ACCT00000004,2022-10-18,2022-10-18 14:11:02,CREDIT,48.76,USD,,,ONLINE,SETTLED,N,,2022-10-18 15:09:05
TXN0000000142,ACCT00000004,2023-03-29,2023-03-29 07:15:20,TRANSFER,15.49,EUR,KJKR92975001701277,UBSWCHZH,ONLINE,SETTLED,N,,2023-03-29 08:36:33
TXN0000000143,ACCT00000004,2022-10-07,2022-10-07 13:20:56,WIRE,558.55,CAD,ANGW24241541520643,DEUTDEDB,BRANCH,SETTLED,N,,2022-10-07 16:03:34
TXN0000000144,ACCT00000004,2022-05-27,2022-05-27 19:45:13,DEBIT,437.07,CAD,NUCW10371293870051,CHASUS33,ONLINE,SETTLED,N,,2022-05-27 21:42:37
TXN0000000145,ACCT00000004,2023-04-02,2023-04-02 07:58:47,CREDIT,44.68,MXN,NWEP13611155426221,HSBCHKHH,ATM,SETTLED,N,,2023-04-02 08:47:52
TXN0000000146,ACCT00000004,2022-12-20,2022-12-20 17:29:57,CREDIT,99.29,USD,,,POS,SETTLED,N,,2022-12-20 15:37:53
TXN0000000147,ACCT00000004,2022-11-07,2022-11-07 11:22:39,FEE,217.2,USD,,,BRANCH,SETTLED,N,,2022-11-07 19:06:07
TXN0000000148,ACCT00000004,2022-09-08,2022-09-08 06:40:30,DEBIT,1203.38,USD,,,ATM,SETTLED,N,,2022-09-08 17:07:14
TXN0000000149,ACCT00000004,2022-05-03,2022-05-03 12:52:29,CREDIT,15.86,USD,,,ONLINE,SETTLED,N,,2022-05-03 15:28:15
TXN0000000150,ACCT00000004,2022-07-01,2022-07-01 08:11:26,DEBIT,27.79,USD,,,MOBILE,SETTLED,N,,2022-07-01 19:22:25
TXN0000000151,ACCT00000004,2022-05-05,2022-05-05 16:32:01,DEBIT,63.97,USD,,,MOBILE,SETTLED,N,,2022-05-05 10:16:29
TXN0000000152,ACCT00000004,2022-09-26,2022-09-26 13:25:40,DEBIT,28.24,USD,,,ATM,SETTLED,N,,2022-09-26 07:09:29
TXN0000000153,ACCT00000004,2022-09-20,2022-09-20 20:04:49,CREDIT,169.67,USD,,,ONLINE,SETTLED,N,,2022-09-20 11:05:44
TXN0000000154,ACCT00000004,2023-01-05,2023-01-05 13:23:51,DEBIT,101.23,USD,,,ONLINE,SETTLED,N,,2023-01-05 13:48:44
TXN0000000155,ACCT00000004,2022-08-09,2022-08-09 19:21:30,WIRE,197.88,USD,QSAT27532697311219,USGXIVHXXX,ONLINE,SETTLED,N,,2022-08-09 20:37:18
TXN0000000156,ACCT00000004,2022-07-18,2022-07-18 18:43:16,CREDIT,294.96,USD,,,MOBILE,SETTLED,N,,2022-07-18 22:50:21
TXN0000000157,ACCT00000004,2023-02-28,2023-02-28 08:20:45,DEBIT,185.07,CAD,XMLN52341389994043,BARCGB22,MOBILE,SETTLED,N,,2023-02-28 22:02:49
