customer_id,first_name,last_name,dob,ssn_hash,country_of_birth,citizenship,onboarded_date,kyc_status,kyc_reviewed_at,branch_id,created_at,updated_at
CUST000013,Kara,Frost,1976-09-17,68956bceed1747b3d2e1488800c5ab51bbe6f241955237d47cbf2d621575a5b1,US,US,2023-03-19,APPROVED,2023-04-08,BR0013,2023-03-19 17:27:44,2023-03-19 07:16:54
CUST000014,Joel,Martin,1979-08-30,5bbba844ce37f28a05215e0e8956f40eb04a3354138af1bbda489cce26fca4f6,US,US,2020-03-09,APPROVED,2020-03-30,BR0007,2020-03-09 07:37:47,2020-03-09 18:17:36
CUST000015,Lauren,Thompson,1988-04-10,7369e6d0fa6aa066db84f0073c38950f85d5cdb79c733d39ffbdc05cd1377d4e,US,US,2023-06-17,APPROVED,2023-06-25,BR0005,2023-06-17 18:14:20,2023-06-17 12:03:44
CUST000016,Robert,White,1983-04-13,55ffe2cfd80c72d42352c05cbd4da6f1b2ce36dd17b5af76072ad765c6baf15c,US,US,2023-05-01,APPROVED,2023-05-24,BR0006,2023-05-01 20:26:43,2023-05-01 12:27:19
CUST000017,Sandra,Patton,1971-01-23,75484b68413c5daf0e1aea5644160c130396c9f4a4d7a9fa0effdc0f5e248c3d,US,US,2020-06-10,APPROVED,2020-07-14,BR0020,2020-06-10 18:22:59,2020-06-10 15:26:42
CUST000018,Robert,Santiago,1988-12-28,2f71a382512a63422b82710db86e9e9ef9db74616258fae9e33650da9c485787,US,US,2021-05-23,APPROVED,2021-07-18,BR0009,2021-05-23 08:50:57,2021-05-23 15:39:07
CUST000019,Jill,Wright,1985-06-26,0072b04f00705cb1093b6b65d8637cb4f4f1e81743553b9f09818664845d00f4,US,US,2023-03-13,EXPIRED,2023-04-21,BR0019,2023-03-13 20:18:14,2023-03-13 14:56:26
CUST000020,Erik,Haynes,1973-09-01,5665f618990543872f34c59e1b5b736289b7d6784ef73819f9edb6a78e2ec54d,CN,CN,2020-02-06,APPROVED,2020-03-22,BR0008,2020-02-06 07:37:21,2020-02-06 22:26:08
CUST000021,Patrick,Williams,1992-10-18,92d5ad27dede25ec68764888d86488c88ec4ac04797e660f6cdee34cfbbe2fb2,IN,IN,2021-03-24,EXPIRED,2021-05-05,BR0004,2021-03-24 13:10:06,2021-03-24 06:57:48
CUST000022,Thomas,Gonzalez,1989-12-21,4f80645ef80010899c76ec5eb07094a81033d7903e67e351ecff84983fdcac20,JP,JP,2020-09-22,APPROVED,2020-11-17,BR0011,2020-09-22 15:57:54,2020-09-22 22:22:12
CUST000023,Samantha,Bailey,1975-10-03,7b670332481e71529a987d2c941dc33c03358b7883a90dfc8de620e5f2f44d50,US,US,2023-07-15,PENDING,,BR0005,2023-07-15 07:15:00,2023-07-15 07:19:17
CUST000024,Lori,Savage,2000-11-03,2f466d738e03a2ed1808a94596b5638311596839ff5034818e68a3e845dac9fc,GB,US,2022-06-06,APPROVED,2022-07-23,BR0001,2022-06-06 10:57:47,2022-06-06 17:06:08
CUST000025,Jeffrey,Keller,1960-04-19,7b14d197cc7e0722fc899a78d01a374c6f0452804638f68e1684601b6ccce506,US,US,2021-02-22,PENDING,,BR0020,2021-02-22 18:12:21,2021-02-22 16:40:43
CUST000026,Raymond,Ramirez,1992-04-15,c350872af40bc91606f1b612ad201f336909c304db6738fa44f5308faea52420,US,US,2020-01-06,EXPIRED,2020-03-06,BR0003,2020-01-06 14:45:23,2020-01-06 15:12:16
CUST000027,Chad,Ayala,1979-05-12,6f6ab99db7738870f91c88fae40cd58f7ddc69edf4850ed780161dd31d466e8b,US,US,2022-03-24,APPROVED,2022-04-08,BR0002,2022-03-24 12:18:56,2022-03-24 11:12:53
CUST000028,Michael,Hicks,1986-07-20,7a91223f414f4d59ace9d0e8d92ebbc2dc030d0a557d8253ccb73b61c0ac2f39,US,US,2020-11-19,PENDING,,BR0015,2020-11-19 15:11:16,2020-11-19 19:13:41
CUST000029,Erin,Anthony,1959-09-02,26204c7bcacf32aff670f755e30546d4e6d5ebe78fc06d93abf3e476c280ed0a,US,US,2020-02-09,APPROVED,2020-03-26,BR0013,2020-02-09 06:02:35,2020-02-09 16:45:45
CUST000030,Mark,Johnson,1962-08-21,b76d7ba4847266781bc301f5e322a571ae1a2a5540cc6fe26497d752715b6a79,US,US,2023-03-12,APPROVED,2023-03-16,BR0016,2023-03-12 20:56:18,2023-03-12 08:29:16
CUST000031,Natalie,Green,1966-11-23,e51003a0b2bf6db07fead0d6aff2bc664a31c28a626bef0a3dd6f2a3e45735ff,US,US,2020-03-18,APPROVED,2020-03-22,BR0012,2020-03-18 07:10:10,2020-03-18 14:27:25
CUST000032,Beverly,Terrell,1980-05-09,b8310d785f3bfdde3ab54a8bdec3a56cdfe6a41eb2502b99952d3d3e3ab978a9,US,US,2021-01-07,APPROVED,2021-02-25,BR0007,2021-01-07 10:33:09,2021-01-07 13:00:08
CUST000033,Benjamin,Carlson,1951-06-17,837fbe0a660267fc36627b22ff225395d0c9850438c4984966f7778189e97082,US,US,2020-10-03,APPROVED,2020-10-10,BR0008,2020-10-03 06:14:12,2020-10-03 14:26:29
CUST000034,Michael,Hartman,1989-07-24,899aeece4f3d16efab3fe2a855740996f0bc18e50e51c3d210929e1d751d0514,JP,JP,2020-05-19,PENDING,,BR0001,2020-05-19 20:54:27,2020-05-19 10:49:30
CUST000035,Samuel,Joyce,1981-03-01,adc93023e0e852b4bb9e75df9252adf878c1106f46de996003fffe4c9ba6c3fa,US,US,2021-10-08,APPROVED,2021-11-19,BR0003,2021-10-08 11:58:14,2021-10-08 14:52:31
CUST000036,Darrell,Lam,1965-04-23,bf6f1879ae46a45594f15f90702f190b569f4f9cd054b21f7768d6e45e6a1346,US,US,2021-04-27,APPROVED,2021-06-25,BR0005,2021-04-27 15:29:04,2021-04-27 06:05:29
CUST000037,James,Williams,1964-08-17,795edb9a8fef948c7bc72f70708742d97bee163f198e13e7be964d8d7e93b15e,US,US,2020-12-01,EXPIRED,2021-01-27,BR0014,2020-12-01 14:42:56,2020-12-01 20:46:49
CUST000038,Ryan,Meyer,1959-02-11,e37a9471e78c4dc647ddd10f26876fe612b71f1ca7e7c16dd0e7ec4bc57ee34e,CA,CA,2022-09-03,EXPIRED,2022-09-24,BR0004,2022-09-03 11:59:16,2022-09-03 07:24:23
CUST000039,Lindsay,Mcdaniel,1998-08-04,7af6df3389fec12598e4c434736e065201dad1fd3abec902740f5446226edabf,US,US,2021-04-11,APPROVED,2021-05-25,BR0011,2021-04-11 22:55:59,2021-04-11 08:11:09
CUST000040,Shelby,Mclaughlin,1978-05-30,8a63dc9e1296bfdd5919a465c7d5ea820b5cd05006170da3f8b01dbcddec5d68,US,US,2023-05-12,APPROVED,2023-06-03,BR0010,2023-05-12 14:58:32,2023-05-12 10:15:31
CUST000041,James,Reynolds,1972-05-07,2886f947abeb51fc9ebdd0f37cd1de7809f34e88d4023faa2434c56da3b05ac5,US,US,2023-07-09,APPROVED,2023-07-14,BR0005,2023-07-09 08:05:03,2023-07-09 09:33:29
CUST000042,Stacy,Mccall,1996-01-26,6cf135f17ec11aa598481120a4ae566f71c44589786dfc41ce021441b76b4078,AU,AU,2020-03-27,APPROVED,2020-05-11,BR0003,2020-03-27 20:54:03,2020-03-27 21:18:44
CUST000043,Cindy,Alvarado,1953-03-27,e6c7d0ae5e3ff8604d790c75c3d4b6fded0a8df63e70321b6ae8cadd01f1f29c,US,US,2023-07-13,APPROVED,2023-07-20,BR0012,2023-07-13 11:38:20,2023-07-13 09:31:06
CUST000044,David,Mccullough,1965-06-28,f489642b74f25e0288d5b31f11f8ecfd722808f6b0fe0207d140bdd9b01b35e1,IN,US,2020-12-26,APPROVED,2021-01-11,BR0006,2020-12-26 11:01:23,2020-12-26 15:09:09
CUST000045,William,Estrada,1960-02-20,cf468d4f63c56f96884760e1d8ccbe5b04b1359f6d5282fe2b81375e9f33e9aa,US,US,2022-02-09,APPROVED,2022-03-25,BR0007,2022-02-09 12:47:47,2022-02-09 06:44:34
CUST000046,Mark,Terry,1967-07-17,4c9326d6024e6f78ef929b27611d850ff8717bf36d963a383ab0205c7fcd9b4d,US,US,2021-02-19,APPROVED,2021-04-17,BR0017,2021-02-19 22:31:32,2021-02-19 16:00:17
CUST000047,Angela,Lee,1991-09-07,d834eab8030ed03af88c4edd47d1a682291a2f584a093e41262cfc02b297310c,MX,US,2020-02-13,APPROVED,2020-04-03,BR0003,2020-02-13 16:12:50,2020-02-13 20:31:16
CUST000048,Elizabeth,Gray,1966-04-19,632afaf8d78914759d0bdb821c9c103c0cf167a12b547e8592cf00de50471a7e,CA,CA,2022-03-25,APPROVED,2022-04-05,BR0014,2022-03-25 13:17:11,2022-03-25 20:58:31
CUST000049,Kaitlin,Thompson,1992-07-16,6cc7f6c70df90b78e07e6e0476fa00306804d5bef81f754e49064972d09d61ef,GB,US,2021-10-16,APPROVED,2021-10-18,BR0012,2021-10-16 08:09:51,2021-10-16 10:01:41
CUST000050,Ashley,Sullivan,1983-02-04,e550103b3362daa0e574630fc3ced6f415a4ebb9dc83d1ca59b2fc1c4414cc71,US,US,2023-03-19,PENDING,,BR0011,2023-03-19 19:13:02,2023-03-19 10:37:20
CUST000051,Martha,Torres,1978-05-02,dc08adef7e12a4733f44dcd5de5ac377b2fed2213a24fdf316b0e485a147a7a1,US,US,2023-09-24,PENDING,,BR0005,2023-09-24 19:11:52,2023-09-24 15:42:48
CUST000052,Jason,Floyd,1966-02-20,26cf3c31aca21ff6ec575ddca4cdd1fca50c5d93d1338aeba94b941ffbb4b71b,US,US,2020-03-29,APPROVED,2020-05-11,BR0001,2020-03-29 16:06:12,2020-03-29 12:46:06
CUST000053,Catherine,Morris,1970-01-04,29894b8c17eb71fdaeede33629ffabe8e5e11c20f34e9f847696638978bae6d2,US,US,2023-09-03,APPROVED,2023-10-10,BR0003,2023-09-03 08:11:54,2023-09-03 10:06:53
CUST000054,Scott,Lowe,1965-07-06,1a18c03a96bbd0996fd799796f2a4375ffeaa13be1f7afe247c4c9e3ec294823,US,US,2020-06-06,APPROVED,2020-08-04,BR0005,2020-06-06 19:34:26,2020-06-06 21:25:19
CUST000055,William,Leon,1950-10-04,5edd187b65ad596f6e64ea559da3eb27d5b24fe33775e2c2c44646d6ba017295,US,US,2020-08-01,REJECTED,2020-08-22,BR0002,2020-08-01 18:19:19,2020-08-01 10:53:53
CUST000056,Susan,Fitzgerald,1950-02-01,606f00e86ecd773b5ac65723d316639f6811e7a5fe6ff11e5fe292558e99caa7,US,US,2020-03-29,APPROVED,2020-05-01,BR0016,2020-03-29 13:53:20,2020-03-29 22:20:49
CUST000057,Donna,Campbell,1984-10-13,9aaeb129dbec283642d9bd538d66c226d6ab6394e8a283d33c57e317226cabbe,MX,US,2023-07-31,APPROVED,2023-09-17,BR0005,2023-07-31 12:18:42,2023-07-31 11:07:39
CUST000058,Elizabeth,Harvey,1962-08-23,7bbb3eaf7e98f9fb66477f87e8d8cc3e7ed4cbfbced03185cc2134317fd7eb03,US,US,2022-06-13,APPROVED,2022-06-25,BR0002,2022-06-13 15:10:39,2022-06-13 14:34:13
CUST000059,Clarence,Crane,1960-02-13,4aac0debf951cd0a4dd19ef7107643034b5a34b0f7ab40d87d99a09d6d531665,US,US,2021-07-31,PENDING,,BR0005,2021-07-31 19:37:39,2021-07-31 14:36:44
CUST000060,Jimmy,Collins,1997-04-07,613c287eceb376500bf25cad0bb786db1f7dae00c50bda953c8afe4140b62e05,US,US,2020-07-17,EXPIRED,2020-07-30,BR0002,2020-07-17 13:56:27,2020-07-17 19:26:01
CUST000061,Lindsay,Hernandez,1965-01-30,d5358c095a82ac1529d34a4d5a41ff99690e991eb509beca0382d0cdfd0e4ed5,US,US,2020-01-06,APPROVED,2020-01-19,BR0011,2020-01-06 12:34:25,2020-01-06 12:55:06
CUST000062,Brandon,Riggs,1950-05-07,ebdead400e6614c0ec794643de5567b033b50e1bbe33cf5339cf6aba2a8a0e06,US,US,2021-10-21,EXPIRED,2021-11-02,BR0008,2021-10-21 06:59:22,2021-10-21 11:59:26
CUST000063,Cheryl,Mack,1965-05-02,0bfc71758720b9cd35e92388044afe9deafc7eae00fc95bda5e390b46e288207,US,US,2023-09-14,REJECTED,2023-09-18,BR0018,2023-09-14 19:10:52,2023-09-14 20:48:27
CUST000064,Stanley,Mercado,1971-11-24,202f46056c11b358c123ab7e61ee6dd0f5aca3a83dfca16f68ab30db96b7f34b,GB,US,2021-04-11,APPROVED,2021-06-07,BR0007,2021-04-11 12:52:30,2021-04-11 19:57:47
CUST000065,Barbara,Higgins,1957-06-22,971b4442aa7042f48b5a150dfeb6326e86319deb265f8c4e33a6bc4276ab83cc,CA,CA,2022-11-02,APPROVED,2022-12-13,BR0013,2022-11-02 20:06:15,2022-11-02 19:35:19
CUST000066,Patrick,Ross,1959-10-01,a50646d998ee73c77ad026c23c0ba6823816523e43fd527a97ccf6554a1114ad,US,US,2020-01-03,APPROVED,2020-02-05,BR0008,2020-01-03 10:06:43,2020-01-03 22:46:14
CUST000067,Dylan,Watts,1981-05-04,7abae9d7365d92c751f5b384d7dd90bfcd90cd59ffe735f24771da28a3e012a9,US,US,2021-01-18,APPROVED,2021-01-23,BR0001,2021-01-18 18:57:30,2021-01-18 21:24:06
CUST000068,Patricia,Dalton,1953-11-24,9fd153ec7f39823df5ab9bce6f8e0fffa88aa3ccf2116178c50bc4009b6d4aa5,GB,GB,2022-05-16,REJECTED,2022-07-08,BR0018,2022-05-16 22:06:54,2022-05-16 14:15:49
CUST000069,Nicole,Osborne,1956-09-25,f74c5c794b11f18819b816bb2f26ef7c48f12596fd16616109f3f4fc1e17bdfd,US,US,2023-06-27,APPROVED,2023-07-24,BR0004,2023-06-27 17:37:26,2023-06-27 13:34:44
CUST000070,Jeffery,Brock,1976-10-25,83811d42a9acffceda80327748b3a0a8aec45a9d768a7d83704cdf2f286946ca,US,US,2021-12-18,EXPIRED,2022-01-31,BR0013,2021-12-18 17:44:52,2021-12-18 18:34:24
CUST000071,Heather,Marshall,1965-04-29,3d10b193cd098c0ad2257aecc988084fa4837aa9473befc4dd5e17d300f7e80c,US,US,2023-06-07,APPROVED,2023-06-16,BR0010,2023-06-07 22:37:36,2023-06-07 11:21:20
CUST000072,Angela,Lowery,1970-01-20,050acd12427a4252fd0aa074b6b1d879ee398488fef84d7bdc4bdd7c805de754,IN,IN,2023-05-19,APPROVED,2023-06-29,BR0005,2023-05-19 06:28:17,2023-05-19 21:09:48
CUST000073,David,Anderson,1986-12-18,1c658c7bfca378f14e7a945922d4665f7bbe815c5fc29311c452f37765a395fe,US,US,2022-05-17,EXPIRED,2022-06-15,BR0016,2022-05-17 06:35:00,2022-05-17 20:19:43
CUST000074,Steven,Schmidt,1994-09-06,2d5efff8a718066c0e9c3e64a8b081750f2cd6dbb69964807aa6c24a6175805d,US,US,2021-06-07,EXPIRED,2021-08-01,BR0009,2021-06-07 08:32:12,2021-06-07 22:54:19
CUST000075,Angelica,Stewart,1960-02-05,a4742a647e36e8f977b22e33d6f97faec6e052151cdb0ad7ff05c3f861ea37d3,US,US,2022-04-22,APPROVED,2022-05-22,BR0007,2022-04-22 18:46:37,2022-04-22 09:24:18
CUST000076,Karina,Ramos,1997-11-18,836ad203cf7cc4c39a8e879d1f576b690dd428d201307010d01d68f941132ceb,US,US,2020-02-28,APPROVED,2020-04-19,BR0013,2020-02-28 06:20:10,2020-02-28 09:53:56
CUST000077,Lisa,Mcclain,1952-10-25,1ec2f299c9a513f7edb315128eaf8d1799e3aa4691c72730cb42ed90cc8b53df,US,US,2020-12-02,APPROVED,2020-12-28,BR0001,2020-12-02 11:17:34,2020-12-02 14:22:33
CUST000078,Ronald,Meadows,1959-05-14,e42ff9ae454bd1538559d7e4b3154b4823a7db9567c2a29023103cda258ea3bd,GB,US,2021-03-30,APPROVED,2021-05-25,BR0016,2021-03-30 15:42:52,2021-03-30 13:39:38
CUST000079,Sean,Moore,1992-07-02,e59ef1b71397cfbf255a5a78c2d21a976dbb854e46deafdd78a188c98abcf5cd,US,US,2021-06-21,REJECTED,2021-07-18,BR0005,2021-06-21 20:50:23,2021-06-21 06:03:00
CUST000080,Michelle,Cole,1969-02-04,d3ce68dc93582f5e9ef0aafe1b501fa9eb3cac5eaed08cfa347053fcc683ec48,US,US,2020-04-05,PENDING,,BR0004,2020-04-05 17:41:13,2020-04-05 06:58:22
CUST000081,Karen,Larsen,1984-10-03,399d90eefa31c4262747c3b40593d188077a3df5ba85d26c1b150c0907fbb31a,US,US,2021-08-23,APPROVED,2021-09-29,BR0010,2021-08-23 19:28:36,2021-08-23 07:32:48
CUST000082,Joshua,Strickland,1993-01-18,aea6fcfcaa74076874b68c9cfb2e5300e13df150aeab53c8e18b47ac5741f0a4,US,US,2020-02-10,EXPIRED,2020-02-21,BR0001,2020-02-10 09:40:48,2020-02-10 12:27:23
CUST000083,Todd,Allen,1961-01-09,c60661b3edf27ec6e689eb77253f2ac8f0510b681f08265d688e69c603524625,IN,US,2020-04-08,APPROVED,2020-04-25,BR0013,2020-04-08 21:17:42,2020-04-08 16:27:35
CUST000084,Scott,Reeves,1985-12-18,39884a7ad2054b67de8bb9e9284b82c86bf3bc66e080ef3c9fb0c97433a8ecf0,MX,US,2022-02-06,APPROVED,2022-02-16,BR0011,2022-02-06 17:39:38,2022-02-06 19:55:30
CUST000085,Jimmy,Rogers,1962-04-14,d0b2898ca5b7d3026ebb7302dd87e57203705639079c32324901d11b0d82eae1,US,US,2021-10-08,APPROVED,2021-12-02,BR0011,2021-10-08 13:13:59,2021-10-08 15:28:50
CUST000086,Patricia,Miller,1952-08-21,7736e62a03350cdd517b5b895e6bb2fec8de2dbe4287093ec31f5e16b65c58e9,US,US,2021-06-14,APPROVED,2021-07-09,BR0011,2021-06-14 17:38:14,2021-06-14 19:20:10
CUST000087,Edward,Reyes,1958-08-25,cb0a5974a34868ed40161aa22486503c942beb9d5f69b4291fe3b4945af46ddd,US,US,2021-04-20,APPROVED,2021-05-22,BR0010,2021-04-20 16:46:22,2021-04-20 12:06:10
CUST000088,Eric,Lewis,1955-01-21,59acd5ad36b37622931663ba88954e5d73c9861d779776981e0071dcef76bbbb,US,US,2020-01-08,PENDING,,BR0003,2020-01-08 21:15:59,2020-01-08 10:40:29
CUST000089,Robert,Rivera,1994-05-18,79e14cd3d433556c73fece19b53cfa8ff00f6fb4f09ab1d8c03bb8adea32ef9d,US,US,2020-11-18,APPROVED,2020-12-23,BR0018,2020-11-18 16:45:43,2020-11-18 16:35:20
CUST000090,Steven,Brown,1965-05-04,31187e25c1e1c426b189e462a97047b2e522222281651c4231267476af0f3a50,IN,IN,2021-01-06,EXPIRED,2021-02-19,BR0011,2021-01-06 09:25:07,2021-01-06 22:20:31
CUST000091,Marissa,Price,1983-01-14,a3ed04aa68a9e6824a68651ac963b20d057bba37932ea8525b0ec908b3fba490,US,US,2023-06-14,APPROVED,2023-07-06,BR0012,2023-06-14 15:38:05,2023-06-14 14:28:29
CUST000092,Kayla,Shah,1977-07-26,63188c6b12d636983b5083f293ecfb8fc4cd0720b61c6548097ba5581ff7cdcd,US,US,2021-07-06,APPROVED,2021-08-16,BR0010,2021-07-06 20:55:33,2021-07-06 15:07:53
CUST000093,Andrew,Gilmore,1991-05-20,bbfcfd77383428b4423a517b9709999af4dd3feb59fbff50a24eb3972bda6451,US,US,2020-09-01,APPROVED,2020-10-23,BR0009,2020-09-01 15:54:57,2020-09-01 12:02:21
CUST000094,Barbara,Woods,1970-10-04,1c44e60cc42e9a1906dda1684767d82caabf2e67631b06c98ef1c2d49563d74d,US,US,2022-09-28,APPROVED,2022-10-11,BR0014,2022-09-28 08:55:50,2022-09-28 08:44:12
CUST000095,Sherri,Evans,1971-07-02,169c89ed5bf50ad5f22a7fef58f4d18e334a78323983739484ff1ba23529d214,MX,US,2023-08-13,APPROVED,2023-10-12,BR0017,2023-08-13 11:51:58,2023-08-13 08:22:50
CUST000096,Peter,Snow,1965-08-14,d04934fffefe55775fc330c7b7b0f579b5a52a4c5718839f6b2770bc5d540851,US,US,2022-09-10,APPROVED,2022-09-29,BR0006,2022-09-10 16:43:04,2022-09-10 16:11:07
CUST000097,Mary,Medina,1989-12-09,74d9e570e510cd535c23bb5af2014bef5cfc1d9b5fcdb72b7076fb788fbb7e06,US,US,2023-11-18,APPROVED,2023-12-31,BR0016,2023-11-18 22:03:06,2023-11-18 22:36:55
CUST000098,Jessica,Marsh,1959-08-20,731ec02d06c23ab60af974771f42947ed4b91424d6be16dfc5dfd0984bec318e,BR,BR,2021-12-31,APPROVED,2022-01-19,BR0003,2021-12-31 21:28:47,2021-12-31 18:59:10
CUST000099,Rachael,Freeman,1985-08-29,3c32e69436087b503aa59cfd6887d2985e29e0d59bdb577318319d71ecf1a930,US,US,2023-04-21,APPROVED,2023-06-13,BR0013,2023-04-21 19:16:57,2023-04-21 16:03:39
CUST000100,Joshua,Tucker,1952-08-08,926697fd2a81d68eedc265e5794a62c9474f814d7417f4c224ee8edb0d1fed0c,US,US,2023-11-14,APPROVED,2023-12-23,BR0008,2023-11-14 06:34:57,2023-11-14 13:53:59
CUST000101,Paul,Caldwell,1980-07-15,7302e9d58fb7528d1024eed27f70b640368ae26b03b712e6629948c387ce6762,US,US,2020-12-02,APPROVED,2020-12-29,BR0010,2020-12-02 11:41:18,2020-12-02 18:17:47
CUST000102,Lauren,Ramsey,1996-03-02,760e094ffce1a086cb831b8871d7ad1a7ec3ed3d0053a59ca982898fd592c23e,US,US,2022-11-25,APPROVED,2023-01-22,BR0019,2022-11-25 17:28:10,2022-11-25 17:52:49
CUST000103,Mary,Calhoun,1993-12-26,ba5ad4cfbad8dab1fd86b82d1f9b5098ac0f9d6400a0208af4c3746bca603813,US,US,2021-11-04,EXPIRED,2021-12-08,BR0019,2021-11-04 07:11:09,2021-11-04 08:28:47
CUST000104,Tina,Ferguson,1991-07-08,053d086a09c590d064bfaa358325f11325cdcd161fb8dfb83693cf781beab699,US,FR,2023-01-09,EXPIRED,2023-03-03,BR0018,2023-01-09 12:40:38,2023-01-09 20:57:05
CUST000105,Rebecca,Vargas,1991-06-17,4b8d3bf2d2da526a7b3e263d83f3ef8c18bb3b5ff549bc4867f690a3461a2a15,US,US,2020-01-31,APPROVED,2020-03-30,BR0009,2020-01-31 12:27:31,2020-01-31 11:33:25
CUST000106,Elizabeth,Miller,1996-12-14,ef68becb0b1dfe502be609b2f1489bef13201a364bf12ef3045a58b7b73d0f70,US,US,2020-08-03,APPROVED,2020-09-13,BR0017,2020-08-03 16:48:27,2020-08-03 09:49:05
CUST000107,Roy,Camacho,1972-01-19,841648d317669bb0a435133f89718128d2282c5f3844066d49b474d0f45963b3,US,US,2023-06-03,APPROVED,2023-08-01,BR0001,2023-06-03 11:53:06,2023-06-03 20:29:36
CUST000108,Hunter,Green,1954-03-20,143916713fe79ea4492f78de87648e93bedb8620d00f90f49c058bc1ad5befb5,US,US,2022-01-29,APPROVED,2022-02-26,BR0008,2022-01-29 17:05:40,2022-01-29 16:47:32
CUST000109,Mark,Gibson,1998-04-23,41383116a2b4844a89ccafb6094f320187f61a4f2d8a410f8232cf8b0664eca4,US,US,2020-02-13,REJECTED,2020-04-03,BR0007,2020-02-13 10:43:25,2020-02-13 06:47:47
CUST000110,Matthew,Hobbs,1960-11-26,edac6a181f068227296b13ff90b7701004cb31f71b327174e45c5b020498a116,US,US,2020-09-07,EXPIRED,2020-09-13,BR0005,2020-09-07 21:19:08,2020-09-07 16:22:07
CUST000111,Joshua,Bean,1971-11-01,5486451a379af0bab28e0d5ceab963160101622a81a58a56b073378a3c08e862,US,US,2022-05-24,APPROVED,2022-06-27,BR0017,2022-05-24 09:02:18,2022-05-24 16:03:56
CUST000112,Robert,Conley,1962-03-03,b9dfc156b0f8dc262e2c007e8a3ddad0845942c828c4620483c4161836cf3c8e,US,US,2021-09-06,APPROVED,2021-09-11,BR0016,2021-09-06 12:24:48,2021-09-06 18:08:58
CUST000113,Thomas,Curry,1989-06-18,b53748a49404cb5bb01a1ac0396b6192f071d7f0d4f844e1655a0d8940e9476b,JP,JP,2020-06-11,APPROVED,2020-07-28,BR0007,2020-06-11 17:15:51,2020-06-11 07:45:00
CUST000114,Brett,Crane,1979-12-15,76cb7112b0e17636c9ca9a0383d96959c6e0d8de3384011198989f7fc08bd8f0,US,US,2023-01-21,APPROVED,2023-03-03,BR0003,2023-01-21 16:55:24,2023-01-21 18:15:37
CUST000115,Jeffrey,Jones,1993-09-21,3ee9072ae3a79205cf3b18b586a738f619fb51a81eb150be7e16c977a3d94883,US,US,2023-03-10,APPROVED,2023-05-06,BR0010,2023-03-10 13:25:43,2023-03-10 07:42:08
